role_id,role_title,role_description,required_skills
520,Machine Learning Consultant,"Responsible for unity, react, spark, git, linux tasks and projects","unity,react,spark,git,linux"
521,Marketing Specialist,"Responsible for java, html, cloud, django, kotlin, numpy tasks and projects","java,html,cloud,django,kotlin,numpy"
522,Business Engineer,"Responsible for azure, numpy, tensorflow, javascript, nlp, swift tasks and projects","azure,numpy,tensorflow,javascript,nlp,swift"
523,Backend Consultant,"Responsible for flutter, kotlin, spark, css, tensorflow tasks and projects","flutter,kotlin,spark,css,tensorflow"
524,Product Manager,"Responsible for flutter, python, swift, pandas, css tasks and projects","flutter,python,swift,pandas,css"
525,Marketing Architect,"Responsible for kubernetes, html, cloud, pandas tasks and projects","kubernetes,html,cloud,pandas"
526,DevOps Analyst,"Responsible for python, unity, azure, c# tasks and projects","python,unity,azure,c#"
527,Business Specialist,"Responsible for tensorflow, adobe xd, sql, c#, swift, docker tasks and projects","tensorflow,adobe xd,sql,c#,swift,docker"
528,AI Developer,"Responsible for css, git, azure tasks and projects","css,git,azure"
529,DevOps Administrator,"Responsible for kubernetes, tensorflow, java, django, pandas tasks and projects","kubernetes,tensorflow,java,django,pandas"
530,DevOps Administrator,"Responsible for docker, airflow, unity, kubernetes tasks and projects","docker,airflow,unity,kubernetes"
531,AI Designer,"Responsible for linux, c#, unity, pandas, git, node tasks and projects","linux,c#,unity,pandas,git,node"
532,Frontend Architect,"Responsible for kubernetes, html, django tasks and projects","kubernetes,html,django"
533,Full Stack Administrator,"Responsible for adobe xd, git, swift tasks and projects","adobe xd,git,swift"
534,IoT Administrator,"Responsible for nlp, html, airflow, azure tasks and projects","nlp,html,airflow,azure"
535,Business Specialist,"Responsible for nlp, flutter, git, aws, pandas, swift tasks and projects","nlp,flutter,git,aws,pandas,swift"
536,Marketing Developer,"Responsible for pytorch, python, azure tasks and projects","pytorch,python,azure"
537,Cloud Analyst,"Responsible for pytorch, nlp, unity tasks and projects","pytorch,nlp,unity"
538,Embedded Consultant,"Responsible for airflow, flask, cloud, figma, unity, docker tasks and projects","airflow,flask,cloud,figma,unity,docker"
539,Machine Learning Designer,"Responsible for css, numpy, html, kubernetes, react tasks and projects","css,numpy,html,kubernetes,react"
540,IoT Scientist,"Responsible for swift, flask, aws tasks and projects","swift,flask,aws"
541,Product Consultant,"Responsible for numpy, kubernetes, spark, docker, flutter tasks and projects","numpy,kubernetes,spark,docker,flutter"
542,IoT Specialist,"Responsible for flask, tensorflow, pandas, numpy, sql, javascript tasks and projects","flask,tensorflow,pandas,numpy,sql,javascript"
543,IoT Consultant,"Responsible for node, pytorch, java, linux, unity, kubernetes tasks and projects","node,pytorch,java,linux,unity,kubernetes"
544,Business Specialist,"Responsible for swift, django, adobe xd, c#, airflow, linux tasks and projects","swift,django,adobe xd,c#,airflow,linux"
545,DevOps Administrator,"Responsible for linux, solidity, figma, aws, azure, kotlin tasks and projects","linux,solidity,figma,aws,azure,kotlin"
546,IoT Specialist,"Responsible for adobe xd, kubernetes, sql, css, aws tasks and projects","adobe xd,kubernetes,sql,css,aws"
547,Game Designer,"Responsible for pandas, spark, swift tasks and projects","pandas,spark,swift"
548,Cloud Specialist,"Responsible for css, pytorch, kotlin, linux, kubernetes, nlp tasks and projects","css,pytorch,kotlin,linux,kubernetes,nlp"
549,Business Analyst,"Responsible for cloud, html, css, flask tasks and projects","cloud,html,css,flask"
550,DevOps Administrator,"Responsible for django, javascript, react, airflow, docker tasks and projects","django,javascript,react,airflow,docker"
551,IoT Designer,"Responsible for c++, pytorch, tensorflow, airflow, spark, django tasks and projects","c++,pytorch,tensorflow,airflow,spark,django"
552,AI Scientist,"Responsible for react, docker, azure, swift, sql, airflow tasks and projects","react,docker,azure,swift,sql,airflow"
553,Cloud Scientist,"Responsible for spark, kubernetes, adobe xd, react, aws, java tasks and projects","spark,kubernetes,adobe xd,react,aws,java"
554,UI/UX Manager,"Responsible for spark, tensorflow, c++ tasks and projects","spark,tensorflow,c++"
555,Business Specialist,"Responsible for cloud, tensorflow, javascript, node tasks and projects","cloud,tensorflow,javascript,node"
556,Full Stack Scientist,"Responsible for solidity, node, c# tasks and projects","solidity,node,c#"
557,Embedded Analyst,"Responsible for c++, aws, adobe xd, html, django, swift tasks and projects","c++,aws,adobe xd,html,django,swift"
558,Security Manager,"Responsible for sql, html, flask tasks and projects","sql,html,flask"
559,Robotics Analyst,"Responsible for adobe xd, figma, c# tasks and projects","adobe xd,figma,c#"
560,Product Specialist,"Responsible for react, unity, swift, aws, flutter tasks and projects","react,unity,swift,aws,flutter"
561,Embedded Scientist,"Responsible for numpy, sql, cloud tasks and projects","numpy,sql,cloud"
562,Mobile Administrator,"Responsible for javascript, tensorflow, c# tasks and projects","javascript,tensorflow,c#"
563,Backend Engineer,"Responsible for figma, pandas, pytorch, java tasks and projects","figma,pandas,pytorch,java"
564,Cloud Consultant,"Responsible for kubernetes, cloud, html, figma tasks and projects","kubernetes,cloud,html,figma"
565,Game Architect,"Responsible for django, solidity, sql, c# tasks and projects","django,solidity,sql,c#"
566,DevOps Architect,"Responsible for cloud, adobe xd, flutter, nlp, c++ tasks and projects","cloud,adobe xd,flutter,nlp,c++"
567,Blockchain Analyst,"Responsible for docker, javascript, nlp tasks and projects","docker,javascript,nlp"
568,Security Architect,"Responsible for c++, airflow, azure tasks and projects","c++,airflow,azure"
569,Embedded Analyst,"Responsible for pytorch, swift, tensorflow, aws, unity tasks and projects","pytorch,swift,tensorflow,aws,unity"
570,DevOps Developer,"Responsible for sql, django, c# tasks and projects","sql,django,c#"
571,Frontend Designer,"Responsible for flutter, git, adobe xd tasks and projects","flutter,git,adobe xd"
572,Frontend Analyst,"Responsible for flask, django, python, flutter, figma, solidity tasks and projects","flask,django,python,flutter,figma,solidity"
573,Full Stack Architect,"Responsible for swift, django, solidity, figma, java tasks and projects","swift,django,solidity,figma,java"
574,Frontend Engineer,"Responsible for numpy, c++, python, unity tasks and projects","numpy,c++,python,unity"
575,Cloud Engineer,"Responsible for tensorflow, azure, airflow, cloud, react tasks and projects","tensorflow,azure,airflow,cloud,react"
576,Robotics Engineer,"Responsible for git, kotlin, node, kubernetes, figma tasks and projects","git,kotlin,node,kubernetes,figma"
577,IoT Engineer,"Responsible for javascript, aws, docker, pandas, pytorch, nlp tasks and projects","javascript,aws,docker,pandas,pytorch,nlp"
578,Robotics Engineer,"Responsible for aws, cloud, java tasks and projects","aws,cloud,java"
579,IoT Developer,"Responsible for flask, javascript, adobe xd, nlp, css tasks and projects","flask,javascript,adobe xd,nlp,css"
580,DevOps Analyst,"Responsible for swift, kubernetes, django, tensorflow tasks and projects","swift,kubernetes,django,tensorflow"
581,Full Stack Developer,"Responsible for django, javascript, kubernetes tasks and projects","django,javascript,kubernetes"
582,Business Designer,"Responsible for git, react, flutter, django tasks and projects","git,react,flutter,django"
583,Data Administrator,"Responsible for tensorflow, python, sql, javascript tasks and projects","tensorflow,python,sql,javascript"
584,Machine Learning Consultant,"Responsible for python, c++, airflow, numpy, git tasks and projects","python,c++,airflow,numpy,git"
585,Machine Learning Administrator,"Responsible for python, figma, html, node, kotlin tasks and projects","python,figma,html,node,kotlin"
586,AI Developer,"Responsible for unity, azure, swift, aws, spark tasks and projects","unity,azure,swift,aws,spark"
587,AI Manager,"Responsible for flutter, react, python, css, git, airflow tasks and projects","flutter,react,python,css,git,airflow"
588,Robotics Analyst,"Responsible for css, react, flutter, adobe xd tasks and projects","css,react,flutter,adobe xd"
589,UI/UX Engineer,"Responsible for kubernetes, solidity, css tasks and projects","kubernetes,solidity,css"
590,Blockchain Designer,"Responsible for sql, django, html tasks and projects","sql,django,html"
591,Data Developer,"Responsible for flutter, airflow, html, kotlin tasks and projects","flutter,airflow,html,kotlin"
592,Business Consultant,"Responsible for aws, django, pytorch, linux, html tasks and projects","aws,django,pytorch,linux,html"
593,Product Specialist,"Responsible for spark, css, javascript tasks and projects","spark,css,javascript"
594,Frontend Designer,"Responsible for tensorflow, css, git tasks and projects","tensorflow,css,git"
595,Game Designer,"Responsible for numpy, flask, azure tasks and projects","numpy,flask,azure"
596,AI Designer,"Responsible for css, kotlin, cloud, airflow, c#, figma tasks and projects","css,kotlin,cloud,airflow,c#,figma"
597,IoT Designer,"Responsible for linux, cloud, javascript tasks and projects","linux,cloud,javascript"
598,Embedded Administrator,"Responsible for css, numpy, html tasks and projects","css,numpy,html"
599,IoT Designer,"Responsible for python, java, unity, pytorch, cloud tasks and projects","python,java,unity,pytorch,cloud"
600,Game Scientist,"Responsible for git, kubernetes, docker, aws, pytorch, sql tasks and projects","git,kubernetes,docker,aws,pytorch,sql"
601,Embedded Developer,"Responsible for unity, c++, swift, java tasks and projects","unity,c++,swift,java"
602,Data Manager,"Responsible for nlp, pytorch, unity, solidity, airflow tasks and projects","nlp,pytorch,unity,solidity,airflow"
603,AI Administrator,"Responsible for python, java, flutter tasks and projects","python,java,flutter"
604,Mobile Developer,"Responsible for node, kotlin, c# tasks and projects","node,kotlin,c#"
605,AI Administrator,"Responsible for python, flask, nlp tasks and projects","python,flask,nlp"
606,Backend Designer,"Responsible for unity, c#, html, pytorch, javascript tasks and projects","unity,c#,html,pytorch,javascript"
607,Business Developer,"Responsible for linux, aws, solidity, airflow, sql, java tasks and projects","linux,aws,solidity,airflow,sql,java"
608,Full Stack Specialist,"Responsible for flutter, azure, sql, linux, aws, figma tasks and projects","flutter,azure,sql,linux,aws,figma"
609,Machine Learning Consultant,"Responsible for react, sql, flutter tasks and projects","react,sql,flutter"
610,Business Specialist,"Responsible for kubernetes, python, figma, flask, c#, javascript tasks and projects","kubernetes,python,figma,flask,c#,javascript"
611,Cloud Manager,"Responsible for airflow, flutter, python, nlp tasks and projects","airflow,flutter,python,nlp"
612,Data Consultant,"Responsible for docker, azure, django, tensorflow, html, solidity tasks and projects","docker,azure,django,tensorflow,html,solidity"
613,Machine Learning Architect,"Responsible for solidity, docker, python tasks and projects","solidity,docker,python"
614,Business Administrator,"Responsible for flask, nlp, html, c#, pytorch tasks and projects","flask,nlp,html,c#,pytorch"
615,UI/UX Architect,"Responsible for swift, pytorch, azure, node, sql, flutter tasks and projects","swift,pytorch,azure,node,sql,flutter"
616,AI Scientist,"Responsible for pandas, swift, cloud, solidity tasks and projects","pandas,swift,cloud,solidity"
617,Business Scientist,"Responsible for solidity, flutter, cloud, adobe xd, pytorch, git tasks and projects","solidity,flutter,cloud,adobe xd,pytorch,git"
618,Product Engineer,"Responsible for java, adobe xd, react, python tasks and projects","java,adobe xd,react,python"
619,QA Scientist,"Responsible for adobe xd, django, html, java tasks and projects","adobe xd,django,html,java"
620,Product Manager,"Responsible for javascript, swift, django, sql, nlp tasks and projects","javascript,swift,django,sql,nlp"
621,Frontend Architect,"Responsible for cloud, c++, kubernetes, java tasks and projects","cloud,c++,kubernetes,java"
622,AI Developer,"Responsible for kubernetes, django, git, node, pandas, html tasks and projects","kubernetes,django,git,node,pandas,html"
623,Embedded Developer,"Responsible for javascript, nlp, html tasks and projects","javascript,nlp,html"
624,Backend Developer,"Responsible for kubernetes, adobe xd, spark tasks and projects","kubernetes,adobe xd,spark"
625,UI/UX Manager,"Responsible for azure, python, c++, flutter, figma, html tasks and projects","azure,python,c++,flutter,figma,html"
626,Machine Learning Consultant,"Responsible for swift, azure, python, kotlin, airflow, solidity tasks and projects","swift,azure,python,kotlin,airflow,solidity"
627,Cloud Specialist,"Responsible for linux, aws, pandas, pytorch, css tasks and projects","linux,aws,pandas,pytorch,css"
628,Data Consultant,"Responsible for airflow, node, c++ tasks and projects","airflow,node,c++"
629,Data Designer,"Responsible for flutter, javascript, nlp tasks and projects","flutter,javascript,nlp"
630,QA Analyst,"Responsible for airflow, django, kotlin, sql, docker, tensorflow tasks and projects","airflow,django,kotlin,sql,docker,tensorflow"
631,Embedded Architect,"Responsible for spark, react, pytorch, node, html tasks and projects","spark,react,pytorch,node,html"
632,Game Engineer,"Responsible for flutter, node, django, c# tasks and projects","flutter,node,django,c#"
633,DevOps Administrator,"Responsible for numpy, sql, adobe xd tasks and projects","numpy,sql,adobe xd"
634,Blockchain Manager,"Responsible for flask, unity, nlp, kubernetes tasks and projects","flask,unity,nlp,kubernetes"
635,Security Administrator,"Responsible for tensorflow, css, pytorch, spark, kotlin, solidity tasks and projects","tensorflow,css,pytorch,spark,kotlin,solidity"
636,Cloud Administrator,"Responsible for spark, c++, css, figma, tensorflow tasks and projects","spark,c++,css,figma,tensorflow"
637,Full Stack Developer,"Responsible for javascript, swift, spark, figma, c++, numpy tasks and projects","javascript,swift,spark,figma,c++,numpy"
638,Mobile Analyst,"Responsible for c++, azure, git, django, pandas tasks and projects","c++,azure,git,django,pandas"
639,Mobile Engineer,"Responsible for git, node, nlp, django, spark, java tasks and projects","git,node,nlp,django,spark,java"
640,Game Developer,"Responsible for pandas, html, css tasks and projects","pandas,html,css"
641,Marketing Architect,"Responsible for java, css, unity tasks and projects","java,css,unity"
642,IoT Designer,"Responsible for figma, docker, flutter, cloud, swift tasks and projects","figma,docker,flutter,cloud,swift"
643,Blockchain Engineer,"Responsible for solidity, adobe xd, numpy, flask tasks and projects","solidity,adobe xd,numpy,flask"
644,IoT Designer,"Responsible for tensorflow, unity, swift, flutter tasks and projects","tensorflow,unity,swift,flutter"
645,Mobile Consultant,"Responsible for react, css, django, c++, node, unity tasks and projects","react,css,django,c++,node,unity"
646,Embedded Scientist,"Responsible for git, node, java tasks and projects","git,node,java"
647,Full Stack Designer,"Responsible for nlp, kotlin, spark tasks and projects","nlp,kotlin,spark"
648,Security Architect,"Responsible for pytorch, sql, kotlin, adobe xd, spark, css tasks and projects","pytorch,sql,kotlin,adobe xd,spark,css"
649,AI Scientist,"Responsible for css, python, solidity, tensorflow, flask tasks and projects","css,python,solidity,tensorflow,flask"
650,Cloud Administrator,"Responsible for flutter, pytorch, kubernetes, azure, tensorflow tasks and projects","flutter,pytorch,kubernetes,azure,tensorflow"
651,Marketing Architect,"Responsible for flutter, azure, unity, cloud tasks and projects","flutter,azure,unity,cloud"
652,AI Architect,"Responsible for css, aws, django tasks and projects","css,aws,django"
653,Frontend Engineer,"Responsible for cloud, docker, aws, kubernetes, html, javascript tasks and projects","cloud,docker,aws,kubernetes,html,javascript"
654,Business Engineer,"Responsible for numpy, adobe xd, html, flutter tasks and projects","numpy,adobe xd,html,flutter"
655,Game Specialist,"Responsible for sql, flutter, react tasks and projects","sql,flutter,react"
656,Cloud Architect,"Responsible for html, flutter, tensorflow tasks and projects","html,flutter,tensorflow"
657,Robotics Administrator,"Responsible for kubernetes, linux, aws, pandas, numpy tasks and projects","kubernetes,linux,aws,pandas,numpy"
658,Business Scientist,"Responsible for adobe xd, linux, django, javascript, java, cloud tasks and projects","adobe xd,linux,django,javascript,java,cloud"
659,DevOps Specialist,"Responsible for java, swift, javascript tasks and projects","java,swift,javascript"
660,UI/UX Architect,"Responsible for spark, flutter, pytorch, java, javascript tasks and projects","spark,flutter,pytorch,java,javascript"
661,Security Analyst,"Responsible for sql, nlp, airflow tasks and projects","sql,nlp,airflow"
662,Cloud Scientist,"Responsible for nlp, numpy, django, flutter, kotlin tasks and projects","nlp,numpy,django,flutter,kotlin"
663,Mobile Developer,"Responsible for kotlin, css, docker, swift tasks and projects","kotlin,css,docker,swift"
664,Mobile Engineer,"Responsible for c++, nlp, python, spark, java, unity tasks and projects","c++,nlp,python,spark,java,unity"
665,Business Analyst,"Responsible for solidity, cloud, kubernetes, flutter, figma, node tasks and projects","solidity,cloud,kubernetes,flutter,figma,node"
666,Blockchain Administrator,"Responsible for swift, tensorflow, spark, nlp, html tasks and projects","swift,tensorflow,spark,nlp,html"
667,Machine Learning Engineer,"Responsible for javascript, solidity, kotlin, java tasks and projects","javascript,solidity,kotlin,java"
668,Embedded Developer,"Responsible for pandas, html, c++, airflow tasks and projects","pandas,html,c++,airflow"
669,Security Specialist,"Responsible for azure, c#, git, kubernetes, numpy tasks and projects","azure,c#,git,kubernetes,numpy"
670,IoT Analyst,"Responsible for html, linux, spark, kubernetes, c# tasks and projects","html,linux,spark,kubernetes,c#"
671,DevOps Manager,"Responsible for pytorch, unity, django, java, flutter, cloud tasks and projects","pytorch,unity,django,java,flutter,cloud"
672,Robotics Engineer,"Responsible for node, kubernetes, react, flutter, java tasks and projects","node,kubernetes,react,flutter,java"
673,Blockchain Designer,"Responsible for html, flutter, pandas tasks and projects","html,flutter,pandas"
674,Machine Learning Manager,"Responsible for css, c#, figma tasks and projects","css,c#,figma"
675,Full Stack Administrator,"Responsible for node, git, html, spark tasks and projects","node,git,html,spark"
676,UI/UX Architect,"Responsible for django, pandas, flask tasks and projects","django,pandas,flask"
677,Machine Learning Architect,"Responsible for docker, kubernetes, azure, spark, python, c++ tasks and projects","docker,kubernetes,azure,spark,python,c++"
678,Blockchain Specialist,"Responsible for linux, git, nlp, c#, pytorch tasks and projects","linux,git,nlp,c#,pytorch"
679,Backend Scientist,"Responsible for java, c++, html, adobe xd tasks and projects","java,c++,html,adobe xd"
680,Backend Scientist,"Responsible for node, solidity, tensorflow tasks and projects","node,solidity,tensorflow"
681,DevOps Engineer,"Responsible for html, aws, java, nlp, solidity tasks and projects","html,aws,java,nlp,solidity"
682,Embedded Engineer,"Responsible for git, swift, django, css, kotlin tasks and projects","git,swift,django,css,kotlin"
683,Product Developer,"Responsible for solidity, node, git tasks and projects","solidity,node,git"
684,Robotics Scientist,"Responsible for c#, linux, cloud, swift, html tasks and projects","c#,linux,cloud,swift,html"
685,Data Manager,"Responsible for css, airflow, c#, javascript, sql, flutter tasks and projects","css,airflow,c#,javascript,sql,flutter"
686,Full Stack Engineer,"Responsible for flask, pandas, html tasks and projects","flask,pandas,html"
687,Marketing Architect,"Responsible for pytorch, css, flutter, git, tensorflow tasks and projects","pytorch,css,flutter,git,tensorflow"
688,Machine Learning Engineer,"Responsible for swift, c++, javascript, node, cloud tasks and projects","swift,c++,javascript,node,cloud"
689,Game Designer,"Responsible for tensorflow, numpy, react tasks and projects","tensorflow,numpy,react"
690,IoT Analyst,"Responsible for aws, adobe xd, javascript, html, c++, docker tasks and projects","aws,adobe xd,javascript,html,c++,docker"
691,Robotics Administrator,"Responsible for linux, pytorch, kotlin, c#, airflow, django tasks and projects","linux,pytorch,kotlin,c#,airflow,django"
692,Blockchain Architect,"Responsible for node, aws, spark, javascript tasks and projects","node,aws,spark,javascript"
693,QA Engineer,"Responsible for sql, flutter, airflow, figma, javascript, html tasks and projects","sql,flutter,airflow,figma,javascript,html"
694,Business Developer,"Responsible for unity, aws, linux, java, docker, nlp tasks and projects","unity,aws,linux,java,docker,nlp"
695,AI Analyst,"Responsible for unity, aws, html, nlp, tensorflow tasks and projects","unity,aws,html,nlp,tensorflow"
696,Game Developer,"Responsible for pandas, pytorch, node, react, swift, unity tasks and projects","pandas,pytorch,node,react,swift,unity"
697,UI/UX Manager,"Responsible for solidity, pandas, tensorflow, html, azure, pytorch tasks and projects","solidity,pandas,tensorflow,html,azure,pytorch"
698,IoT Administrator,"Responsible for cloud, css, flask tasks and projects","cloud,css,flask"
699,AI Engineer,"Responsible for css, unity, adobe xd, flask tasks and projects","css,unity,adobe xd,flask"
700,UI/UX Administrator,"Responsible for pytorch, flutter, pandas, kotlin, css, html tasks and projects","pytorch,flutter,pandas,kotlin,css,html"
701,Product Consultant,"Responsible for linux, python, figma, swift tasks and projects","linux,python,figma,swift"
702,DevOps Scientist,"Responsible for css, swift, javascript, docker tasks and projects","css,swift,javascript,docker"
703,Embedded Developer,"Responsible for react, spark, kotlin, node, c++, kubernetes tasks and projects","react,spark,kotlin,node,c++,kubernetes"
704,Business Administrator,"Responsible for css, solidity, figma, sql, git, pytorch tasks and projects","css,solidity,figma,sql,git,pytorch"
705,IoT Developer,"Responsible for html, docker, pandas, django, css tasks and projects","html,docker,pandas,django,css"
706,UI/UX Architect,"Responsible for linux, flask, html, swift tasks and projects","linux,flask,html,swift"
707,Game Designer,"Responsible for tensorflow, linux, c++, unity, java tasks and projects","tensorflow,linux,c++,unity,java"
708,DevOps Manager,"Responsible for solidity, azure, linux, react, css tasks and projects","solidity,azure,linux,react,css"
709,Backend Consultant,"Responsible for java, linux, c++ tasks and projects","java,linux,c++"
710,IoT Specialist,"Responsible for c++, flask, linux, html tasks and projects","c++,flask,linux,html"
711,Robotics Engineer,"Responsible for javascript, docker, pandas, aws tasks and projects","javascript,docker,pandas,aws"
712,Machine Learning Administrator,"Responsible for azure, node, pytorch, flutter, nlp tasks and projects","azure,node,pytorch,flutter,nlp"
713,DevOps Engineer,"Responsible for git, docker, adobe xd, kotlin, javascript tasks and projects","git,docker,adobe xd,kotlin,javascript"
714,Mobile Architect,"Responsible for sql, aws, figma, spark, docker, pandas tasks and projects","sql,aws,figma,spark,docker,pandas"
715,Data Manager,"Responsible for cloud, aws, git, django tasks and projects","cloud,aws,git,django"
716,Game Consultant,"Responsible for linux, cloud, solidity, adobe xd, python tasks and projects","linux,cloud,solidity,adobe xd,python"
717,Robotics Specialist,"Responsible for airflow, c++, java, pandas, linux tasks and projects","airflow,c++,java,pandas,linux"
718,Mobile Scientist,"Responsible for html, kotlin, linux, kubernetes, javascript, airflow tasks and projects","html,kotlin,linux,kubernetes,javascript,airflow"
719,UI/UX Manager,"Responsible for pytorch, django, tensorflow, c++, docker tasks and projects","pytorch,django,tensorflow,c++,docker"
720,Machine Learning Developer,"Responsible for aws, swift, python, c++, node tasks and projects","aws,swift,python,c++,node"
721,UI/UX Administrator,"Responsible for html, kotlin, flutter tasks and projects","html,kotlin,flutter"
722,Security Consultant,"Responsible for azure, docker, html, sql, linux tasks and projects","azure,docker,html,sql,linux"
723,QA Developer,"Responsible for docker, flutter, airflow, kubernetes, figma tasks and projects","docker,flutter,airflow,kubernetes,figma"
724,Blockchain Specialist,"Responsible for node, java, adobe xd tasks and projects","node,java,adobe xd"
725,Product Architect,"Responsible for adobe xd, node, kubernetes, c#, css tasks and projects","adobe xd,node,kubernetes,c#,css"
726,Embedded Manager,"Responsible for java, tensorflow, javascript, sql tasks and projects","java,tensorflow,javascript,sql"
727,Mobile Developer,"Responsible for java, flask, swift, cloud tasks and projects","java,flask,swift,cloud"
728,Embedded Developer,"Responsible for html, unity, spark, tensorflow tasks and projects","html,unity,spark,tensorflow"
729,Game Architect,"Responsible for flutter, tensorflow, cloud, airflow tasks and projects","flutter,tensorflow,cloud,airflow"
730,Frontend Specialist,"Responsible for kotlin, c#, cloud, unity tasks and projects","kotlin,c#,cloud,unity"
731,Data Administrator,"Responsible for swift, kotlin, flutter tasks and projects","swift,kotlin,flutter"
732,Game Analyst,"Responsible for html, nlp, css, kotlin, airflow tasks and projects","html,nlp,css,kotlin,airflow"
733,Product Engineer,"Responsible for adobe xd, docker, figma, swift, react, unity tasks and projects","adobe xd,docker,figma,swift,react,unity"
734,Full Stack Manager,"Responsible for swift, c#, react, node, figma, numpy tasks and projects","swift,c#,react,node,figma,numpy"
735,Mobile Consultant,"Responsible for django, numpy, adobe xd, aws tasks and projects","django,numpy,adobe xd,aws"
736,IoT Architect,"Responsible for airflow, sql, git, javascript tasks and projects","airflow,sql,git,javascript"
737,Embedded Manager,"Responsible for numpy, kotlin, nlp, unity tasks and projects","numpy,kotlin,nlp,unity"
738,Product Analyst,"Responsible for javascript, git, adobe xd, azure, solidity, css tasks and projects","javascript,git,adobe xd,azure,solidity,css"
739,Security Architect,"Responsible for c++, sql, nlp, python, node tasks and projects","c++,sql,nlp,python,node"
740,Backend Analyst,"Responsible for spark, azure, adobe xd, flask, unity tasks and projects","spark,azure,adobe xd,flask,unity"
741,UI/UX Specialist,"Responsible for adobe xd, nlp, pytorch, swift, cloud, linux tasks and projects","adobe xd,nlp,pytorch,swift,cloud,linux"
742,Backend Designer,"Responsible for spark, figma, java, sql, python tasks and projects","spark,figma,java,sql,python"
743,Embedded Consultant,"Responsible for flutter, kubernetes, javascript, linux, flask tasks and projects","flutter,kubernetes,javascript,linux,flask"
744,QA Scientist,"Responsible for kotlin, linux, flutter tasks and projects","kotlin,linux,flutter"
745,Embedded Administrator,"Responsible for html, figma, node, python, nlp, sql tasks and projects","html,figma,node,python,nlp,sql"
746,Game Designer,"Responsible for react, pytorch, figma, c++ tasks and projects","react,pytorch,figma,c++"
747,DevOps Manager,"Responsible for pytorch, css, adobe xd, flask, linux tasks and projects","pytorch,css,adobe xd,flask,linux"
748,DevOps Architect,"Responsible for unity, c++, docker, node, react tasks and projects","unity,c++,docker,node,react"
749,Frontend Administrator,"Responsible for pandas, react, figma tasks and projects","pandas,react,figma"
750,Marketing Consultant,"Responsible for react, linux, spark, java, pandas tasks and projects","react,linux,spark,java,pandas"
751,Marketing Developer,"Responsible for docker, azure, kubernetes, numpy, react, flutter tasks and projects","docker,azure,kubernetes,numpy,react,flutter"
752,Marketing Designer,"Responsible for azure, figma, solidity, pytorch, adobe xd tasks and projects","azure,figma,solidity,pytorch,adobe xd"
753,Embedded Designer,"Responsible for react, figma, c++ tasks and projects","react,figma,c++"
754,Full Stack Administrator,"Responsible for django, unity, react tasks and projects","django,unity,react"
755,Frontend Architect,"Responsible for c#, swift, node, css, aws, solidity tasks and projects","c#,swift,node,css,aws,solidity"
756,UI/UX Administrator,"Responsible for docker, solidity, javascript tasks and projects","docker,solidity,javascript"
757,Blockchain Manager,"Responsible for adobe xd, html, aws tasks and projects","adobe xd,html,aws"
758,Product Administrator,"Responsible for docker, nlp, tensorflow, kotlin tasks and projects","docker,nlp,tensorflow,kotlin"
759,Machine Learning Scientist,"Responsible for css, cloud, tensorflow, git, django tasks and projects","css,cloud,tensorflow,git,django"
760,Full Stack Engineer,"Responsible for nlp, figma, kotlin, linux tasks and projects","nlp,figma,kotlin,linux"
761,IoT Administrator,"Responsible for swift, html, kubernetes, javascript, pytorch, pandas tasks and projects","swift,html,kubernetes,javascript,pytorch,pandas"
762,Robotics Analyst,"Responsible for aws, solidity, css, c# tasks and projects","aws,solidity,css,c#"
763,Machine Learning Architect,"Responsible for figma, adobe xd, tensorflow tasks and projects","figma,adobe xd,tensorflow"
764,Robotics Architect,"Responsible for docker, flask, node tasks and projects","docker,flask,node"
765,Embedded Administrator,"Responsible for docker, java, django tasks and projects","docker,java,django"
766,Frontend Consultant,"Responsible for aws, swift, azure, tensorflow tasks and projects","aws,swift,azure,tensorflow"
767,Backend Specialist,"Responsible for aws, react, figma, c#, adobe xd tasks and projects","aws,react,figma,c#,adobe xd"
768,Machine Learning Engineer,"Responsible for adobe xd, django, azure, nlp, linux, kotlin tasks and projects","adobe xd,django,azure,nlp,linux,kotlin"
769,Backend Developer,"Responsible for kubernetes, pandas, flask, kotlin tasks and projects","kubernetes,pandas,flask,kotlin"
770,Backend Analyst,"Responsible for linux, html, kotlin, airflow, aws, solidity tasks and projects","linux,html,kotlin,airflow,aws,solidity"
771,DevOps Designer,"Responsible for adobe xd, c++, pytorch tasks and projects","adobe xd,c++,pytorch"
772,DevOps Consultant,"Responsible for azure, spark, kubernetes, python, git tasks and projects","azure,spark,kubernetes,python,git"
773,Frontend Engineer,"Responsible for tensorflow, nlp, python, spark, kotlin, adobe xd tasks and projects","tensorflow,nlp,python,spark,kotlin,adobe xd"
774,Robotics Specialist,"Responsible for figma, pytorch, java, numpy tasks and projects","figma,pytorch,java,numpy"
775,IoT Analyst,"Responsible for pytorch, c++, c#, solidity, aws, swift tasks and projects","pytorch,c++,c#,solidity,aws,swift"
776,AI Engineer,"Responsible for git, docker, css, solidity, django, java tasks and projects","git,docker,css,solidity,django,java"
777,Machine Learning Designer,"Responsible for kubernetes, flutter, sql tasks and projects","kubernetes,flutter,sql"
778,Embedded Manager,"Responsible for c#, flask, python, git, unity, figma tasks and projects","c#,flask,python,git,unity,figma"
